sitename,lat,lon,iteration,cluster
y5,-34.7283,146.2932,3,NA
y7,-34.8518,146.1153,4,NA
y8,-34.847,146.414,1,NA
y9,-34.9678,146.0163,2,NA
ya3,-34.6772,146.1397,1,A
ya4a,-34.706,146.0794,2,A
ya4b,-34.7031,146.1053,3,A
ya4c,-34.7142,146.0943,4,A
ya4d,-34.7142,146.0751,1,A
ya4e,-34.7214,146.103,4,A
ya5,-34.7129,146.1277,3,A
ya7a,-34.7352,146.082,1,A
ya7b,-34.7378,146.0987,4,A
ya7d,-34.7544,146.0778,2,A
ya7e,-34.7507,146.0949,1,A
ya9,-34.7414,146.1536,2,A
yb1,-34.9412,146.2765,4,B
yb3,-34.9427,146.3401,2,B
yb5a,-34.9653,146.3026,4,B
yb5b,-34.9634,146.3184,3,B
yb5d,-34.9848,146.293,2,B
yb5e,-34.9797,146.3205,3,B
yb7a,-34.9885,146.2694,1,B
yb7c,-34.9984,146.2785,2,B
yb7d,-35.005,146.2685,3,B
yb7e,-35.0077,146.288,4,B
yb9,-35.0022,146.3398,3,B
y10,-35.0053,146.3099,1,B
