time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.847,146.414,0.123,143.488,8,0.449,0.059,0.492,NA,0.212,0.215,NA,0.21,0.226,1.249,30.553,42.894,30.781,0,317.52,316.277
2016-01-02,-34.847,146.414,0.132,143.488,8,0.449,0.059,0.492,NA,0.211,0.215,NA,0.208,0.228,1.249,28.865,30.042,24.296,0,317.1,316.044
2016-01-03,-34.847,146.414,0.141,143.488,8,0.449,0.059,0.492,NA,0.206,0.225,NA,0.203,0.226,1.249,23.889,17.457,23.74,9.305,316.68,315.812
2016-01-04,-34.847,146.414,0.133,143.488,8,0.449,0.059,0.492,NA,0.205,0.225,NA,0.203,0.226,1.249,21.708,15.883,23.554,0,316.26,315.581
2016-01-05,-34.847,146.414,0.125,143.488,8,0.449,0.059,0.492,NA,0.214,0.219,NA,0.21,0.225,1.249,21.527,8.832,19.444,0,315.84,315.35
2016-01-06,-34.847,146.414,0.133,143.488,8,0.449,0.059,0.492,NA,0.213,0.221,NA,0.209,0.226,1.249,23.724,15.839,26.888,0.001,315.42,315.119
2016-01-07,-34.847,146.414,0.144,143.488,8,0.449,0.059,0.492,315,0.212,0.214,314.889,0.204,0.229,1.249,22.853,20.223,30.155,0.402,315,314.889
2016-01-08,-34.847,146.414,0.123,143.488,8,0.449,0.059,0.492,NA,0.215,0.202,NA,0.204,0.221,1.249,23.074,23.028,30.85,0,318.487,318.173
2016-01-09,-34.847,146.414,0.106,143.488,8,0.449,0.059,0.492,NA,0.217,0.2,NA,0.204,0.221,1.249,26.703,34.314,30.842,0,321.973,321.521
2016-01-10,-34.847,146.414,0.091,143.488,8,0.449,0.059,0.492,325.46,0.218,0.201,324.891,0.204,0.221,1.249,27.842,40.691,30.832,0,325.46,324.891
2016-01-11,-34.847,146.414,0.08,143.488,8,0.449,0.059,0.492,NA,0.218,0.2,NA,0.204,0.22,1.249,30.517,49.197,30.758,0,326.68,325.341
2016-01-12,-34.847,146.414,0.076,143.488,8,0.449,0.059,0.492,327.9,0.219,0.203,325.792,0.205,0.219,1.249,32.484,45.31,30.561,0,327.9,325.792
2016-01-13,-34.847,146.414,0.072,143.488,8,0.449,0.059,0.492,320.82,0.219,0.203,321.674,0.205,0.218,1.249,34.352,55.118,29.874,0,320.82,321.674
2016-01-14,-34.847,146.414,0.084,143.488,8,0.449,0.059,0.492,NA,0.219,0.203,NA,0.205,0.218,1.249,28.52,17.626,26.208,0.157,319.345,319.663
2016-01-15,-34.847,146.414,0.082,143.488,8,0.449,0.059,0.492,NA,0.219,0.203,NA,0.204,0.218,1.249,19.46,18.806,30.094,0,317.87,317.671
