time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.714,146.094,0.117,127.64,8,0.674,0.055,0.271,NA,0.219,0.45,NA,0.154,0.62,3.289,30.451,43.792,30.791,0,312.4,312.072
2016-01-02,-34.714,146.094,0.111,127.64,8,0.674,0.055,0.271,NA,0.22,0.454,NA,0.154,0.62,3.289,28.861,29.93,24.524,0,311.84,311.364
2016-01-03,-34.714,146.094,0.109,127.64,8,0.674,0.055,0.271,NA,0.218,0.433,NA,0.153,0.617,3.289,23.827,16.675,24.636,9.168,311.28,310.66
2016-01-04,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,NA,0.218,0.433,NA,0.154,0.617,3.289,21.838,16.093,25.438,0,310.72,309.961
2016-01-05,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,NA,0.219,0.395,NA,0.155,0.618,3.289,21.779,10.15,21.806,0,310.16,309.273
2016-01-06,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,NA,0.219,0.392,NA,0.155,0.62,3.289,23.5,16.385,27.928,0,309.6,308.583
2016-01-07,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,309.04,0.211,0.347,307.802,0.155,0.607,3.289,23.184,20.283,30.229,0.313,309.04,307.802
2016-01-08,-34.714,146.094,0.108,127.64,8,0.674,0.055,0.271,NA,0.21,0.355,NA,0.156,0.614,3.289,23.085,22.899,30.856,0,312.547,311.453
2016-01-09,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,NA,0.209,0.334,NA,0.156,0.616,3.289,26.547,34.292,30.901,0,316.053,315.094
2016-01-10,-34.714,146.094,0.105,127.64,8,0.674,0.055,0.271,319.56,0.209,0.334,318.75,0.156,0.615,3.289,27.848,41.15,30.919,0,319.56,318.75
2016-01-11,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,NA,0.209,0.326,NA,0.156,0.612,3.289,30.569,49.882,30.849,0,316.83,316.055
2016-01-12,-34.714,146.094,0.104,127.64,8,0.674,0.055,0.271,314.1,0.207,0.333,313.363,0.156,0.618,3.289,32.267,44.495,30.509,0,314.1,313.363
2016-01-13,-34.714,146.094,0.102,127.64,8,0.674,0.055,0.271,318.88,0.207,0.333,318.131,0.156,0.618,3.289,34.681,55.933,30.485,0,318.88,318.131
2016-01-14,-34.714,146.094,0.091,127.64,8,0.674,0.055,0.271,NA,0.206,0.332,NA,0.156,0.618,3.289,27.569,16.637,25.149,0.052,313.59,313.217
2016-01-15,-34.714,146.094,NA,127.64,8,0.674,0.055,0.271,308.3,0.206,0.332,308.394,0.156,0.618,3.289,19.319,18.177,30.01,0,308.3,308.394
2016-01-16,-34.714,146.094,0.097,127.64,8,0.674,0.055,0.271,NA,0.209,0.314,NA,0.157,0.614,3.289,21.886,21.263,28.981,0,309.67,309.465
2016-01-17,-34.714,146.094,0.096,127.64,8,0.674,0.055,0.271,311.04,0.207,0.309,310.562,0.157,0.615,3.289,23.825,22.969,29.525,0,311.04,310.562
2016-01-18,-34.714,146.094,0.098,127.64,8,0.674,0.055,0.271,NA,0.205,0.305,NA,0.158,0.612,3.289,25.68,30.44,30.15,0,313.79,312.91
2016-01-19,-34.714,146.094,0.099,127.64,8,0.674,0.055,0.271,316.54,0.204,0.287,315.276,0.158,0.61,3.289,30.292,45.066,30.134,0,316.54,315.276
2016-01-20,-34.714,146.094,0.096,127.64,8,0.674,0.055,0.271,NA,0.204,0.287,NA,0.158,0.609,3.289,32.074,40.528,28.675,0,314.944,312.439
2016-01-21,-34.714,146.094,0.094,127.64,8,0.674,0.055,0.271,NA,0.198,0.287,NA,0.156,0.604,3.289,29.689,24.351,24.43,0,313.348,309.636
2016-01-22,-34.714,146.094,0.204,127.64,8,0.674,0.055,0.271,NA,0.198,0.287,NA,0.156,0.605,3.289,24.755,8.328,11.012,0,311.752,306.663
2016-01-23,-34.714,146.094,0.21,127.64,8,0.674,0.055,0.271,NA,0.197,0.287,NA,0.157,0.604,3.289,25.254,15.017,27.249,13.141,310.156,303.77
2016-01-24,-34.714,146.094,0.189,127.64,8,0.674,0.055,0.271,308.56,0.198,0.276,308.078,0.156,0.602,3.289,23.979,18.707,29.813,0,308.56,308.078
2016-01-25,-34.714,146.094,0.174,127.64,8,0.674,0.055,0.271,NA,0.197,0.294,NA,0.156,0.583,3.289,24.789,21.398,29.495,0,310.51,309.73
2016-01-26,-34.714,146.094,0.162,127.64,8,0.674,0.055,0.271,312.46,0.196,0.299,311.345,0.156,0.582,3.289,27.222,26.022,24.583,0,312.46,311.345
2016-01-27,-34.714,146.094,0.236,127.64,8,0.674,0.055,0.271,NA,0.195,0.307,NA,0.156,0.584,3.289,22.271,3.827,11.134,14.454,311.614,310.213
2016-01-28,-34.714,146.094,0.238,127.64,8,0.674,0.055,0.271,NA,0.191,0.308,NA,0.155,0.564,3.289,25.155,13.932,22.722,5.864,310.769,309.113
2016-01-29,-34.714,146.094,0.226,127.64,8,0.674,0.055,0.271,NA,0.19,0.308,NA,0.156,0.564,3.289,19.75,7.415,15.449,1.986,309.923,307.876
2016-01-30,-34.714,146.094,0.253,127.64,8,0.674,0.055,0.271,NA,0.195,0.385,NA,0.155,0.561,3.289,18.359,8.485,17.781,1.15,309.077,306.604
2016-01-31,-34.714,146.094,0.286,127.64,8,0.674,0.055,0.271,NA,0.194,0.385,NA,0.155,0.564,3.289,18.743,8.822,16.252,8.071,308.231,305.977
2016-02-01,-34.714,146.094,0.259,127.64,8,0.674,0.055,0.271,NA,0.19,0.41,NA,0.154,0.55,2.591,19.599,7.81,24.656,10.494,307.386,305.351
2016-02-02,-34.714,146.094,0.226,127.64,8,0.674,0.055,0.271,306.54,0.189,0.418,304.791,0.154,0.55,2.591,21.923,17.917,27.212,0,306.54,304.791
2016-02-03,-34.714,146.094,0.203,127.64,8,0.674,0.055,0.271,NA,0.188,0.427,NA,0.154,0.543,2.591,24.218,11.301,22.77,0,307.03,305.115
2016-02-04,-34.714,146.094,0.181,127.64,8,0.674,0.055,0.271,307.52,0.186,0.445,305.506,0.154,0.54,2.591,23.405,17.203,28.496,0,307.52,305.506
2016-02-05,-34.714,146.094,0.163,127.64,8,0.674,0.055,0.271,306.02,0.186,0.447,305.318,0.154,0.54,2.591,23.374,20.52,28.029,0,306.02,305.318
2016-02-06,-34.714,146.094,0.15,127.64,8,0.674,0.055,0.271,307.6,0.186,0.438,306.487,0.157,0.523,2.591,23.562,19.101,26.408,0,307.6,306.487
