time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.714,146.075,0.13,127.221,8,0.636,0.061,0.303,NA,0.213,0.544,NA,0.172,0.469,2.934,30.444,43.825,30.793,0,314.15,311.301
2016-01-02,-34.714,146.075,0.127,127.221,8,0.636,0.061,0.303,NA,0.211,0.564,NA,0.173,0.467,2.934,28.857,29.894,24.537,0,313.055,310.601
2016-01-03,-34.714,146.075,0.129,127.221,8,0.636,0.061,0.303,NA,0.212,0.561,NA,0.173,0.464,2.934,23.824,16.648,24.689,8.909,311.96,309.892
2016-01-04,-34.714,146.075,0.124,127.221,8,0.636,0.061,0.303,NA,0.212,0.561,NA,0.174,0.464,2.934,21.847,16.074,25.509,0,310.865,309.166
2016-01-05,-34.714,146.075,0.122,127.221,8,0.636,0.061,0.303,NA,0.209,0.558,NA,0.175,0.46,2.934,21.787,10.215,21.884,0,309.77,308.398
2016-01-06,-34.714,146.075,0.121,127.221,8,0.636,0.061,0.303,NA,0.209,0.559,NA,0.175,0.461,2.934,23.485,16.406,27.942,0,308.675,307.816
2016-01-07,-34.714,146.075,0.111,127.221,8,0.636,0.061,0.303,307.58,0.207,0.564,307.282,0.178,0.452,2.934,23.199,20.296,30.222,0.317,307.58,307.282
2016-01-08,-34.714,146.075,0.104,127.221,8,0.636,0.061,0.303,NA,0.206,0.578,NA,0.179,0.452,2.934,23.085,22.873,30.856,0,311.507,311.211
2016-01-09,-34.714,146.075,0.097,127.221,8,0.636,0.061,0.303,NA,0.207,0.567,NA,0.179,0.453,2.934,26.531,34.246,30.904,0,315.433,315.064
2016-01-10,-34.714,146.075,0.092,127.221,8,0.636,0.061,0.303,319.36,0.206,0.568,318.889,0.179,0.452,2.934,27.85,41.138,30.923,0,319.36,318.889
2016-01-11,-34.714,146.075,0.09,127.221,8,0.636,0.061,0.303,NA,0.206,0.572,NA,0.18,0.448,2.934,30.568,49.888,30.853,0,317.05,316.541
2016-01-12,-34.714,146.075,0.089,127.221,8,0.636,0.061,0.303,314.74,0.205,0.574,314.189,0.179,0.457,2.934,32.246,44.41,30.506,0,314.74,314.189
2016-01-13,-34.714,146.075,0.087,127.221,8,0.636,0.061,0.303,318.94,0.205,0.574,317.872,0.179,0.457,2.934,34.7,55.922,30.464,0,318.94,317.872
2016-01-14,-34.714,146.075,0.08,127.221,8,0.636,0.061,0.303,NA,0.205,0.575,NA,0.179,0.457,2.934,27.498,16.549,25.067,0.057,313.71,313.139
2016-01-15,-34.714,146.075,0.083,127.221,8,0.636,0.061,0.303,308.48,0.205,0.575,308.262,0.179,0.457,2.934,19.305,18.133,30.008,0,308.48,308.262
2016-01-16,-34.714,146.075,NA,127.221,8,0.636,0.061,0.303,NA,0.205,0.589,NA,0.179,0.447,2.934,21.881,21.259,28.97,0,310.51,309.254
2016-01-17,-34.714,146.075,0.08,127.221,8,0.636,0.061,0.303,312.54,0.203,0.586,310.211,0.179,0.445,2.934,23.837,22.963,29.527,0,312.54,310.211
2016-01-18,-34.714,146.075,NA,127.221,8,0.636,0.061,0.303,NA,0.202,0.592,NA,0.18,0.444,2.934,25.681,30.506,30.153,0,313.86,312.657
2016-01-19,-34.714,146.075,0.079,127.221,8,0.636,0.061,0.303,315.18,0.201,0.595,315.074,0.18,0.44,2.934,30.305,45.074,30.133,0,315.18,315.074
2016-01-20,-34.714,146.075,0.075,127.221,8,0.636,0.061,0.303,NA,0.201,0.596,NA,0.18,0.439,2.934,32.077,40.471,28.664,0,313.92,312.733
2016-01-21,-34.714,146.075,0.073,127.221,8,0.636,0.061,0.303,NA,0.204,0.623,NA,0.18,0.435,2.934,29.686,24.321,24.413,0,312.66,310.362
2016-01-22,-34.714,146.075,0.163,127.221,8,0.636,0.061,0.303,NA,0.204,0.623,NA,0.181,0.434,2.934,24.744,8.28,10.999,0,311.4,307.967
2016-01-23,-34.714,146.075,0.165,127.221,8,0.636,0.061,0.303,NA,0.204,0.623,NA,0.181,0.431,2.934,25.238,14.949,27.248,13.268,310.14,306.092
2016-01-24,-34.714,146.075,0.108,127.221,8,0.636,0.061,0.303,308.88,0.203,0.609,307.63,0.181,0.429,2.934,23.967,18.661,29.813,0,308.88,307.63
2016-01-25,-34.714,146.075,0.065,127.221,8,0.636,0.061,0.303,NA,0.203,0.64,NA,0.182,0.417,2.934,24.77,21.343,29.497,0,310,309.252
2016-01-26,-34.714,146.075,0.055,127.221,8,0.636,0.061,0.303,311.12,0.202,0.639,310.953,0.182,0.414,2.934,27.191,26.021,24.588,0,311.12,310.953
2016-01-27,-34.714,146.075,0.047,127.221,8,0.636,0.061,0.303,NA,0.201,0.641,NA,0.182,0.412,2.934,22.284,3.823,11.159,13.631,308.185,309.455
