time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.721,146.103,0.097,127.657,6,0.639,0.057,0.304,NA,0.177,0.281,NA,0.166,0.331,1.331,30.461,43.776,30.792,0,313.635,314.442
2016-01-02,-34.721,146.103,0.094,127.657,6,0.639,0.057,0.304,NA,0.179,0.288,NA,0.166,0.336,1.331,28.872,29.937,24.525,0,312.953,313.645
2016-01-03,-34.721,146.103,0.11,127.657,6,0.639,0.057,0.304,NA,0.176,0.299,NA,0.165,0.344,1.331,23.838,16.711,24.609,9.276,312.27,312.871
2016-01-04,-34.721,146.103,0.109,127.657,6,0.639,0.057,0.304,NA,0.175,0.298,NA,0.165,0.345,1.331,21.84,16.076,25.387,0,311.587,312.142
2016-01-05,-34.721,146.103,0.104,127.657,6,0.639,0.057,0.304,NA,0.175,0.288,NA,0.165,0.338,1.331,21.776,10.098,21.762,0,310.905,311.504
2016-01-06,-34.721,146.103,0.1,127.657,6,0.639,0.057,0.304,NA,0.175,0.289,NA,0.165,0.337,1.331,23.517,16.372,27.943,0,310.223,310.566
2016-01-07,-34.721,146.103,0.098,127.657,6,0.639,0.057,0.304,309.54,0.172,0.297,309.292,0.162,0.352,1.331,23.18,20.296,30.24,0.307,309.54,309.292
2016-01-08,-34.721,146.103,0.095,127.657,6,0.639,0.057,0.304,NA,0.17,0.281,NA,0.162,0.354,1.331,23.092,22.906,30.856,0,314.013,313.729
2016-01-09,-34.721,146.103,0.09,127.657,6,0.639,0.057,0.304,NA,0.17,0.274,NA,0.162,0.346,1.331,26.553,34.282,30.899,0,318.487,317.923
2016-01-10,-34.721,146.103,0.086,127.657,6,0.639,0.057,0.304,322.96,0.17,0.274,322.228,0.162,0.346,1.331,27.852,41.125,30.916,0,322.96,322.228
2016-01-11,-34.721,146.103,0.081,127.657,6,0.639,0.057,0.304,NA,0.17,0.271,NA,0.162,0.342,1.331,30.571,49.853,30.845,0,321.34,320.302
2016-01-12,-34.721,146.103,0.078,127.657,6,0.639,0.057,0.304,319.72,0.172,0.269,318.39,0.162,0.335,1.331,32.273,44.504,30.51,0,319.72,318.39
2016-01-13,-34.721,146.103,0.073,127.657,6,0.639,0.057,0.304,319.16,0.172,0.269,319.671,0.162,0.335,1.331,34.679,55.91,30.518,0,319.16,319.671
2016-01-14,-34.721,146.103,0.062,127.657,6,0.639,0.057,0.304,NA,0.172,0.268,NA,0.162,0.335,1.331,27.601,16.674,25.202,0.045,317.305,315.197
2016-01-15,-34.721,146.103,NA,127.657,6,0.639,0.057,0.304,NA,0.172,0.268,NA,0.162,0.336,1.331,19.331,18.215,30.016,0,315.45,311.119
2016-01-16,-34.721,146.103,0.063,127.657,6,0.639,0.057,0.304,NA,0.173,0.251,NA,0.162,0.341,1.331,21.889,21.287,28.989,0,313.595,311.739
2016-01-17,-34.721,146.103,NA,127.657,6,0.639,0.057,0.304,311.74,0.173,0.25,312.286,0.162,0.338,1.331,23.827,22.98,29.527,0,311.74,312.286
2016-01-18,-34.721,146.103,0.062,127.657,6,0.639,0.057,0.304,NA,0.173,0.248,NA,0.162,0.341,1.331,25.682,30.408,30.151,0,315.84,315.636
2016-01-19,-34.721,146.103,0.063,127.657,6,0.639,0.057,0.304,319.94,0.174,0.25,319.108,0.162,0.345,1.331,30.292,45.09,30.135,0,319.94,319.108
2016-01-20,-34.721,146.103,0.06,127.657,6,0.639,0.057,0.304,NA,0.173,0.25,NA,0.162,0.346,1.331,32.079,40.525,28.665,0,316.01,315.615
2016-01-21,-34.721,146.103,NA,127.657,6,0.639,0.057,0.304,NA,0.166,0.253,NA,0.16,0.361,1.331,29.701,24.402,24.463,0,312.08,312.325
2016-01-22,-34.721,146.103,0.206,127.657,6,0.639,0.057,0.304,NA,0.166,0.25,NA,0.16,0.361,1.331,24.759,8.355,11.015,0,308.15,308.028
2016-01-23,-34.721,146.103,0.205,127.657,6,0.639,0.057,0.304,304.22,0.166,0.251,304.095,0.16,0.366,1.331,25.264,15.066,27.246,13.127,304.22,304.095
2016-01-24,-34.721,146.103,0.187,127.657,6,0.639,0.057,0.304,309.72,0.166,0.26,310.027,0.159,0.364,1.331,23.992,18.76,29.812,0,309.72,310.027
2016-01-25,-34.721,146.103,0.17,127.657,6,0.639,0.057,0.304,NA,0.164,0.266,NA,0.158,0.39,1.331,24.803,21.432,29.495,0,312.54,312.404
2016-01-26,-34.721,146.103,0.162,127.657,6,0.639,0.057,0.304,315.36,0.163,0.272,314.534,0.157,0.399,1.331,27.239,26.021,24.579,0,315.36,314.534
2016-01-27,-34.721,146.103,0.235,127.657,6,0.639,0.057,0.304,NA,0.161,0.279,NA,0.157,0.407,1.331,22.278,3.846,11.148,15.254,314.143,313.395
2016-01-28,-34.721,146.103,0.233,127.657,6,0.639,0.057,0.304,NA,0.155,0.302,NA,0.154,0.464,1.331,25.167,13.967,22.692,6.069,312.926,312.434
2016-01-29,-34.721,146.103,0.223,127.657,6,0.639,0.057,0.304,NA,0.156,0.3,NA,0.154,0.45,1.331,19.771,7.398,15.598,2.049,311.709,310.767
2016-01-30,-34.721,146.103,0.267,127.657,6,0.639,0.057,0.304,NA,0.155,0.31,NA,0.154,0.473,1.331,18.388,8.519,17.928,1.061,310.491,308.741
2016-01-31,-34.721,146.103,0.299,127.657,6,0.639,0.057,0.304,NA,0.155,0.311,NA,0.154,0.473,1.331,18.76,8.832,16.238,8.157,309.274,307.392
2016-02-01,-34.721,146.103,0.273,127.657,6,0.639,0.057,0.304,NA,0.154,0.336,NA,0.153,0.498,1.978,19.605,7.818,24.635,10.662,308.057,306.043
2016-02-02,-34.721,146.103,0.237,127.657,6,0.639,0.057,0.304,306.84,0.154,0.34,305.084,0.153,0.501,1.978,21.925,17.912,27.194,0,306.84,305.084
2016-02-03,-34.721,146.103,0.212,127.657,6,0.639,0.057,0.304,NA,0.154,0.347,NA,0.153,0.512,1.978,24.222,11.308,22.718,0,307.49,305.676
2016-02-04,-34.721,146.103,0.186,127.657,6,0.639,0.057,0.304,308.14,0.154,0.351,306.657,0.153,0.52,1.978,23.415,17.232,28.502,0,308.14,306.657
2016-02-05,-34.721,146.103,0.163,127.657,6,0.639,0.057,0.304,307.24,0.154,0.352,305.396,0.153,0.521,1.978,23.369,20.528,28.031,0,307.24,305.396
2016-02-06,-34.721,146.103,0.147,127.657,6,0.639,0.057,0.304,309.36,0.158,0.357,307.368,0.154,0.503,1.978,23.567,19.093,26.411,0,309.36,307.368
2016-02-07,-34.721,146.103,0.132,127.657,6,0.639,0.057,0.304,311.2,0.158,0.359,311.868,0.154,0.503,1.978,25.653,22.263,27.72,0,311.2,311.868
2016-02-08,-34.721,146.103,0.118,127.657,6,0.639,0.057,0.304,314.18,0.158,0.352,313.123,0.155,0.476,1.978,27.418,30.943,28.218,0,314.18,313.123
2016-02-09,-34.721,146.103,0.108,127.657,6,0.639,0.057,0.304,313.86,0.158,0.356,313.737,0.154,0.481,1.978,27.032,30.255,28.153,0,313.86,313.737
2016-02-10,-34.721,146.103,0.1,127.657,6,0.639,0.057,0.304,NA,0.159,0.347,NA,0.155,0.464,1.978,27.098,36.643,28.074,0,313.72,313.58
2016-02-11,-34.721,146.103,0.092,127.657,6,0.639,0.057,0.304,313.58,0.16,0.344,313.378,0.155,0.46,1.978,26.294,30.582,27.877,0,313.58,313.378
2016-02-12,-34.721,146.103,0.091,127.657,6,0.639,0.057,0.304,NA,0.16,0.344,NA,0.155,0.447,1.978,27.437,31.056,27.724,0,316.88,315.478
2016-02-13,-34.721,146.103,0.085,127.657,6,0.639,0.057,0.304,320.18,0.161,0.347,317.833,0.156,0.439,1.978,29.067,41.055,27.641,0,320.18,317.833
2016-02-14,-34.721,146.103,0.078,127.657,6,0.639,0.057,0.304,307.9,0.16,0.349,309.461,0.156,0.443,1.978,26.269,23.28,25.743,0,307.9,309.461
2016-02-15,-34.721,146.103,0.08,127.657,6,0.639,0.057,0.304,NA,0.161,0.347,NA,0.157,0.417,1.978,22.278,21.273,27.052,0,306.38,305.077
2016-02-16,-34.721,146.103,NA,127.657,6,0.639,0.057,0.304,304.86,0.16,0.349,304.208,0.156,0.425,1.978,21.027,16.906,25.263,0,304.86,304.208
2016-02-17,-34.721,146.103,0.077,127.657,6,0.639,0.057,0.304,NA,0.165,0.313,NA,0.158,0.367,1.978,19.336,15.268,25.826,0,308.74,307.103
2016-02-18,-34.721,146.103,NA,127.657,6,0.639,0.057,0.304,312.62,0.165,0.311,311.186,0.158,0.368,1.978,22.443,17.823,26.833,0,312.62,311.186
2016-02-19,-34.721,146.103,0.067,127.657,6,0.639,0.057,0.304,NA,0.165,0.308,NA,0.158,0.34,1.978,24.537,28.656,26.759,0,312.62,311.186
2016-02-20,-34.721,146.103,0.065,127.657,6,0.639,0.057,0.304,NA,0.165,0.306,NA,0.158,0.34,1.978,24.276,20.521,26.608,0,312.62,311.186
2016-02-21,-34.721,146.103,0.062,127.657,6,0.639,0.057,0.304,NA,0.164,0.304,NA,0.158,0.332,1.978,24.836,27.87,26.404,0,312.876,311.138
2016-02-22,-34.721,146.103,0.061,127.657,6,0.639,0.057,0.304,NA,0.166,0.279,NA,0.164,0.302,1.978,28.417,33.013,26.24,0,312.962,311.122
2016-02-23,-34.721,146.103,0.063,127.657,6,0.639,0.057,0.304,NA,0.166,0.284,NA,0.162,0.312,1.978,32.066,44.786,26.116,0,313.047,311.106
2016-02-24,-34.721,146.103,0.062,127.657,6,0.639,0.057,0.304,NA,0.167,0.273,NA,0.166,0.286,1.978,33.073,49.855,26.084,0,313.133,311.09
2016-02-25,-34.721,146.103,0.059,127.657,6,0.639,0.057,0.304,NA,0.167,0.278,NA,0.165,0.291,1.978,29.953,35.41,25.878,0,313.218,311.073
2016-02-26,-34.721,146.103,0.056,127.657,6,0.639,0.057,0.304,NA,0.167,0.279,NA,0.169,0.276,1.978,24.284,22.206,25.577,0,313.304,311.057
2016-02-27,-34.721,146.103,0.057,127.657,6,0.639,0.057,0.304,NA,0.165,0.296,NA,0.168,0.282,1.978,23.603,22.774,25.561,0,313.56,311.009
2016-02-28,-34.721,146.103,0.06,127.657,6,0.639,0.057,0.304,NA,0.166,0.296,NA,0.171,0.277,1.978,25.854,25.715,25.388,0,313.56,311.009
2016-02-29,-34.721,146.103,0.049,127.657,6,0.639,0.057,0.304,313.56,0.165,0.292,311.009,0.172,0.269,1.978,24.383,26.681,25.336,0,313.56,311.009
2016-03-01,-34.721,146.103,0.055,127.657,6,0.639,0.057,0.304,312.08,0.165,0.288,312.785,0.172,0.272,0.908,26.931,33.266,25.792,0,312.08,312.785
2016-03-02,-34.721,146.103,0.056,127.657,6,0.639,0.057,0.304,314.26,0.164,0.287,312.96,0.171,0.267,0.908,28.83,41.992,25.588,0,314.26,312.96
