time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.735,146.082,NA,126.658,7,0.709,0.057,0.233,NA,0.203,0.738,NA,0.189,0.239,0.907,30.462,43.81,30.797,0,309.575,314.173
2016-01-02,-34.735,146.082,0.219,126.658,7,0.709,0.057,0.233,NA,0.204,0.733,NA,0.188,0.239,0.907,28.878,29.89,24.547,0,308.923,313.245
2016-01-03,-34.735,146.082,NA,126.658,7,0.709,0.057,0.233,NA,0.204,0.738,NA,0.185,0.238,0.907,23.846,16.704,24.664,8.999,308.27,312.291
2016-01-04,-34.735,146.082,0.224,126.658,7,0.709,0.057,0.233,NA,0.204,0.739,NA,0.185,0.238,0.907,21.857,16.029,25.446,0,307.617,311.28
2016-01-05,-34.735,146.082,0.22,126.658,7,0.709,0.057,0.233,NA,0.196,0.723,NA,0.18,0.238,0.907,21.787,10.143,21.833,0,306.965,310.119
2016-01-06,-34.735,146.082,0.218,126.658,7,0.709,0.057,0.233,NA,0.193,0.738,NA,0.18,0.237,0.907,23.514,16.393,27.982,0,306.312,309.558
2016-01-07,-34.735,146.082,0.215,126.658,7,0.709,0.057,0.233,305.66,0.189,0.748,309.281,0.172,0.235,0.907,23.2,20.33,30.239,0.306,305.66,309.281
2016-01-08,-34.735,146.082,0.207,126.658,7,0.709,0.057,0.233,NA,0.192,0.738,NA,0.17,0.228,0.907,23.101,22.877,30.855,0,309.293,313.118
2016-01-09,-34.735,146.082,0.199,126.658,7,0.709,0.057,0.233,NA,0.192,0.743,NA,0.17,0.229,0.907,26.536,34.203,30.901,0,312.927,317.332
2016-01-10,-34.735,146.082,NA,126.658,7,0.709,0.057,0.233,316.56,0.193,0.741,321.443,0.169,0.229,0.907,27.86,41.084,30.918,0,316.56,321.443
2016-01-11,-34.735,146.082,0.482,126.658,7,0.709,0.057,0.233,NA,0.192,0.74,NA,0.169,0.23,0.907,30.573,49.831,30.848,0,315.57,320.278
2016-01-12,-34.735,146.082,0.332,126.658,7,0.709,0.057,0.233,314.58,0.193,0.74,319.11,0.17,0.23,0.907,32.247,44.387,30.505,0,314.58,319.11
2016-01-13,-34.735,146.082,0.284,126.658,7,0.709,0.057,0.233,317.2,0.193,0.74,319.701,0.17,0.23,0.907,34.707,55.877,30.526,0,317.2,319.701
2016-01-14,-34.735,146.082,0.271,126.658,7,0.709,0.057,0.233,NA,0.193,0.739,NA,0.17,0.23,0.907,27.527,16.58,25.135,0.044,311.69,315.769
2016-01-15,-34.735,146.082,0.261,126.658,7,0.709,0.057,0.233,306.18,0.193,0.739,311.686,0.17,0.23,0.907,19.323,18.188,30.019,0,306.18,311.686
2016-01-16,-34.735,146.082,0.249,126.658,7,0.709,0.057,0.233,NA,0.192,0.731,NA,0.17,0.23,0.907,21.886,21.304,28.98,0,308.19,312.213
2016-01-17,-34.735,146.082,0.238,126.658,7,0.709,0.057,0.233,310.2,0.194,0.729,312.735,0.171,0.228,0.907,23.849,22.981,29.534,0,310.2,312.735
2016-01-18,-34.735,146.082,0.231,126.658,7,0.709,0.057,0.233,NA,0.195,0.733,NA,0.169,0.228,0.907,25.686,30.478,30.157,0,310.78,315.176
2016-01-19,-34.735,146.082,NA,126.658,7,0.709,0.057,0.233,311.36,0.194,0.729,317.539,0.169,0.23,0.907,30.31,45.127,30.136,0,311.36,317.539
2016-01-20,-34.735,146.082,0.545,126.658,7,0.709,0.057,0.233,NA,0.194,0.73,NA,0.168,0.229,0.907,32.088,40.437,28.639,0,309.18,314.784
2016-01-21,-34.735,146.082,0.48,126.658,7,0.709,0.057,0.233,NA,0.202,0.733,NA,0.167,0.228,0.907,29.71,24.407,24.473,0,307,311.889
2016-01-22,-34.735,146.082,0.541,126.658,7,0.709,0.057,0.233,NA,0.202,0.737,NA,0.167,0.227,0.907,24.749,8.309,11,0,304.82,309.608
2016-01-23,-34.735,146.082,0.534,126.658,7,0.709,0.057,0.233,302.64,0.202,0.737,307.364,0.164,0.229,0.907,25.253,15.014,27.241,13.288,302.64,307.364
2016-01-24,-34.735,146.082,0.422,126.658,7,0.709,0.057,0.233,307.58,0.199,0.75,309.627,0.164,0.231,0.907,23.988,18.744,29.811,0,307.58,309.627
2016-01-25,-34.735,146.082,0.326,126.658,7,0.709,0.057,0.233,NA,0.201,0.747,NA,0.16,0.233,0.907,24.788,21.385,29.499,0,308.42,311.817
2016-01-26,-34.735,146.082,0.306,126.658,7,0.709,0.057,0.233,309.26,0.2,0.756,313.663,0.159,0.233,0.907,27.211,26.021,24.584,0,309.26,313.663
2016-01-27,-34.735,146.082,0.359,126.658,7,0.709,0.057,0.233,NA,0.2,0.756,NA,0.158,0.232,0.907,22.306,3.857,11.2,14.767,306.4,311.098
2016-01-28,-34.735,146.082,0.371,126.658,7,0.709,0.057,0.233,NA,0.195,0.754,NA,0.149,0.238,0.907,25.178,13.949,22.691,5.629,303.54,309.261
2016-01-29,-34.735,146.082,0.352,126.658,7,0.709,0.057,0.233,NA,0.194,0.753,NA,0.15,0.235,0.907,19.756,7.402,15.465,2.103,300.68,307.548
2016-01-30,-34.735,146.082,0.434,126.658,7,0.709,0.057,0.233,297.82,0.193,0.756,304.961,0.149,0.24,0.907,18.376,8.531,17.809,1.147,297.82,304.961
2016-01-31,-34.735,146.082,0.513,126.658,7,0.709,0.057,0.233,NA,0.193,0.754,NA,0.149,0.241,0.907,18.754,8.744,16.212,8.151,300.34,306.038
2016-02-01,-34.735,146.082,0.472,126.658,7,0.709,0.057,0.233,NA,0.192,0.754,NA,0.148,0.246,0.912,19.623,7.838,24.685,10.546,302.86,307.177
2016-02-02,-34.735,146.082,0.379,126.658,7,0.709,0.057,0.233,305.38,0.194,0.75,308.503,0.148,0.246,0.912,21.945,17.932,27.209,0,305.38,308.503
2016-02-03,-34.735,146.082,0.322,126.658,7,0.709,0.057,0.233,NA,0.191,0.743,NA,0.147,0.249,0.912,24.231,11.329,22.776,0,305.13,309.006
2016-02-04,-34.735,146.082,0.297,126.658,7,0.709,0.057,0.233,304.88,0.19,0.735,309.257,0.146,0.252,0.912,23.41,17.272,28.509,0,304.88,309.257
2016-02-05,-34.735,146.082,0.285,126.658,7,0.709,0.057,0.233,306.32,0.19,0.734,308.844,0.145,0.252,0.912,23.377,20.547,28.042,0,306.32,308.844
2016-02-06,-34.735,146.082,0.273,126.658,7,0.709,0.057,0.233,305.42,0.187,0.726,309.555,0.147,0.249,0.912,23.586,19.124,26.424,0,305.42,309.555
2016-02-07,-34.735,146.082,0.264,126.658,7,0.709,0.057,0.233,310.2,0.189,0.715,312.531,0.147,0.25,0.912,25.675,22.301,27.744,0,310.2,312.531
2016-02-08,-34.735,146.082,0.252,126.658,7,0.709,0.057,0.233,310.1,0.188,0.708,313.263,0.151,0.246,0.912,27.436,31,28.222,0,310.1,313.263
2016-02-09,-34.735,146.082,0.241,126.658,7,0.709,0.057,0.233,311.68,0.189,0.703,313.613,0.15,0.247,0.912,27.022,30.262,28.157,0,311.68,313.613
2016-02-10,-34.735,146.082,0.227,126.658,7,0.709,0.057,0.233,NA,0.186,0.693,NA,0.152,0.245,0.912,27.079,36.636,28.076,0,310.64,313.089
2016-02-11,-34.735,146.082,0.215,126.658,7,0.709,0.057,0.233,309.6,0.186,0.685,312.797,0.152,0.245,0.912,26.3,30.601,27.879,0,309.6,312.797
