time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.738,146.099,0.135,127.071,7,0.586,0.056,0.358,NA,0.201,0.288,NA,0.18,0.327,2.653,30.465,43.792,30.796,0,310.335,311.508
2016-01-02,-34.738,146.099,0.132,127.071,7,0.586,0.056,0.358,NA,0.199,0.277,NA,0.18,0.327,2.653,28.879,29.908,24.54,0,309.772,310.745
2016-01-03,-34.738,146.099,0.155,127.071,7,0.586,0.056,0.358,NA,0.196,0.292,NA,0.179,0.322,2.653,23.846,16.716,24.637,9.131,309.21,310
2016-01-04,-34.738,146.099,0.152,127.071,7,0.586,0.056,0.358,NA,0.196,0.293,NA,0.18,0.321,2.653,21.852,16.038,25.41,0,308.647,309.289
2016-01-05,-34.738,146.099,0.144,127.071,7,0.586,0.056,0.358,NA,0.193,0.301,NA,0.18,0.315,2.653,21.783,10.11,21.795,0,308.085,308.668
2016-01-06,-34.738,146.099,0.131,127.071,7,0.586,0.056,0.358,NA,0.19,0.29,NA,0.18,0.315,2.653,23.521,16.381,27.977,0,307.522,307.624
2016-01-07,-34.738,146.099,0.123,127.071,7,0.586,0.056,0.358,306.96,0.189,0.308,306.54,0.179,0.311,2.653,23.192,20.322,30.243,0.304,306.96,306.54
2016-01-08,-34.738,146.099,0.11,127.071,7,0.586,0.056,0.358,NA,0.186,0.304,NA,0.178,0.303,2.653,23.1,22.889,30.855,0,311.207,310.683
2016-01-09,-34.738,146.099,0.096,127.071,7,0.586,0.056,0.358,NA,0.185,0.296,NA,0.178,0.303,2.653,26.544,34.226,30.899,0,315.453,314.5
2016-01-10,-34.738,146.099,0.088,127.071,7,0.586,0.056,0.358,319.7,0.184,0.297,318.387,0.178,0.303,2.653,27.858,41.089,30.916,0,319.7,318.387
2016-01-11,-34.738,146.099,0.082,127.071,7,0.586,0.056,0.358,NA,0.184,0.297,NA,0.178,0.304,2.653,30.573,49.827,30.846,0,318.05,317.243
2016-01-12,-34.738,146.099,0.08,127.071,7,0.586,0.056,0.358,316.4,0.178,0.302,316.101,0.178,0.304,2.653,32.258,44.429,30.507,0,316.4,316.101
2016-01-13,-34.738,146.099,0.076,127.071,7,0.586,0.056,0.358,317.3,0.178,0.302,317.238,0.178,0.304,2.653,34.696,55.88,30.534,0,317.3,317.238
2016-01-14,-34.738,146.099,0.069,127.071,7,0.586,0.056,0.358,NA,0.178,0.302,NA,0.178,0.304,2.653,27.563,16.623,25.175,0.042,315.5,313.102
2016-01-15,-34.738,146.099,0.073,127.071,7,0.586,0.056,0.358,NA,0.177,0.302,NA,0.178,0.304,2.653,19.33,18.209,30.02,0,313.7,309.138
2016-01-16,-34.738,146.099,0.071,127.071,7,0.586,0.056,0.358,NA,0.17,0.328,NA,0.177,0.301,2.653,21.888,21.306,28.986,0,311.9,309.746
