time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.741,146.154,0.073,129.669,9,0.675,0.053,0.272,NA,0.201,0.268,NA,0.179,0.238,0.991,30.479,43.675,30.792,0,316.63,316.364
2016-01-02,-34.741,146.154,0.066,129.669,9,0.675,0.053,0.272,NA,0.2,0.274,NA,0.179,0.239,0.991,28.878,29.984,24.504,0,315.645,315.188
2016-01-03,-34.741,146.154,0.063,129.669,9,0.675,0.053,0.272,NA,0.197,0.288,NA,0.178,0.239,0.991,23.845,16.82,24.474,9.834,314.66,313.987
2016-01-04,-34.741,146.154,0.075,129.669,9,0.675,0.053,0.272,NA,0.197,0.289,NA,0.178,0.239,0.991,21.812,16.06,25.163,0,313.675,312.739
2016-01-05,-34.741,146.154,0.073,129.669,9,0.675,0.053,0.272,NA,0.199,0.28,NA,0.179,0.233,0.991,21.741,9.89,21.555,0,312.69,311.376
2016-01-06,-34.741,146.154,0.065,129.669,9,0.675,0.053,0.272,NA,0.198,0.285,NA,0.179,0.234,0.991,23.556,16.3,27.944,0,311.705,310.581
2016-01-07,-34.741,146.154,NA,129.669,9,0.675,0.053,0.272,310.72,0.194,0.282,309.821,0.179,0.232,0.991,23.13,20.285,30.272,0.288,310.72,309.821
2016-01-08,-34.741,146.154,0.062,129.669,9,0.675,0.053,0.272,NA,0.196,0.235,NA,0.179,0.227,0.991,23.089,22.944,30.855,0,314,313.753
2016-01-09,-34.741,146.154,0.06,129.669,9,0.675,0.053,0.272,NA,0.198,0.227,NA,0.178,0.225,0.991,26.574,34.318,30.89,0,317.28,318.245
2016-01-10,-34.741,146.154,0.058,129.669,9,0.675,0.053,0.272,320.56,0.199,0.229,322.602,0.176,0.226,0.991,27.846,41.081,30.903,0,320.56,322.602
2016-01-11,-34.741,146.154,0.053,129.669,9,0.675,0.053,0.272,NA,0.199,0.232,NA,0.175,0.225,0.991,30.566,49.769,30.831,0,320.29,321.491
2016-01-12,-34.741,146.154,0.052,129.669,9,0.675,0.053,0.272,320.02,0.198,0.234,320.377,0.179,0.224,0.991,32.306,44.637,30.516,0,320.02,320.377
2016-01-13,-34.741,146.154,0.048,129.669,9,0.675,0.053,0.272,317.26,0.198,0.233,319.456,0.179,0.223,0.991,34.629,55.843,30.578,0,317.26,319.456
2016-01-14,-34.741,146.154,0.051,129.669,9,0.675,0.053,0.272,NA,0.198,0.233,NA,0.178,0.223,0.991,27.754,16.854,25.414,0.031,313.12,314.992
2016-01-15,-34.741,146.154,0.043,129.669,9,0.675,0.053,0.272,308.98,0.198,0.233,310.561,0.18,0.223,0.991,19.355,18.334,30.029,0,308.98,310.561
2016-01-16,-34.741,146.154,0.037,129.669,9,0.675,0.053,0.272,NA,0.198,0.23,NA,0.189,0.223,0.991,21.885,21.325,29.014,0,308,310.927
2016-01-17,-34.741,146.154,NA,129.669,9,0.675,0.053,0.272,307.02,0.198,0.234,311.692,0.188,0.222,0.991,23.799,22.993,29.524,0,307.02,311.692
2016-01-18,-34.741,146.154,0.045,129.669,9,0.675,0.053,0.272,NA,0.198,0.238,NA,0.18,0.222,0.991,25.674,30.222,30.147,0,312.48,315.84
