time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.941,146.276,0.139,127.736,7,0.637,0.057,0.306,NA,0.177,0.286,NA,0.173,0.229,0.708,30.567,43.156,30.802,0,311.015,311.372
2016-01-02,-34.941,146.276,0.126,127.736,7,0.637,0.057,0.306,NA,0.177,0.29,NA,0.174,0.229,0.708,29.003,29.782,24.548,0,311.083,311.381
2016-01-03,-34.941,146.276,0.147,127.736,7,0.637,0.057,0.306,NA,0.179,0.28,NA,0.175,0.225,0.708,23.96,17.029,24.041,11.472,311.15,311.39
2016-01-04,-34.941,146.276,0.173,127.736,7,0.637,0.057,0.306,NA,0.179,0.281,NA,0.175,0.226,0.708,21.87,15.323,24.2,0,311.217,311.399
2016-01-05,-34.941,146.276,NA,127.736,7,0.637,0.057,0.306,NA,0.182,0.297,NA,0.179,0.221,0.708,21.625,9.019,20.857,0,311.285,311.408
2016-01-06,-34.941,146.276,0.175,127.736,7,0.637,0.057,0.306,NA,0.183,0.296,NA,0.179,0.224,0.708,23.736,15.833,28.914,0,311.353,311.417
2016-01-07,-34.941,146.276,0.172,127.736,7,0.637,0.057,0.306,311.42,0.19,0.287,311.426,0.184,0.227,0.708,23.041,20.479,30.611,0.064,311.42,311.426
2016-01-08,-34.941,146.276,0.169,127.736,7,0.637,0.057,0.306,NA,0.195,0.276,NA,0.185,0.223,0.708,23.21,22.887,30.83,0,314.093,314.189
2016-01-09,-34.941,146.276,0.16,127.736,7,0.637,0.057,0.306,NA,0.196,0.258,NA,0.184,0.217,0.708,26.639,33.757,30.844,0,316.767,317.023
2016-01-10,-34.941,146.276,0.15,127.736,7,0.637,0.057,0.306,319.44,0.196,0.257,319.876,0.184,0.217,0.708,27.923,40.354,30.841,0,319.44,319.876
2016-01-11,-34.941,146.276,0.136,127.736,7,0.637,0.057,0.306,NA,0.195,0.264,NA,0.185,0.216,0.708,30.526,48.808,30.771,0,319.62,319.324
2016-01-12,-34.941,146.276,0.125,127.736,7,0.637,0.057,0.306,NA,0.197,0.257,NA,0.186,0.216,0.708,32.267,44.329,30.513,0,319.8,318.773
2016-01-13,-34.941,146.276,0.115,127.736,7,0.637,0.057,0.306,319.98,0.197,0.256,319.853,0.185,0.216,0.708,34.59,55.044,30.673,0,319.98,319.853
2016-01-14,-34.941,146.276,0.098,127.736,7,0.637,0.057,0.306,NA,0.197,0.256,NA,0.185,0.216,0.708,28.04,16.971,25.886,0,315.29,315.256
2016-01-15,-34.941,146.276,0.1,127.736,7,0.637,0.057,0.306,310.6,0.197,0.255,310.807,0.185,0.216,0.708,19.475,18.672,30.121,0,310.6,310.807
2016-01-16,-34.941,146.276,0.101,127.736,7,0.637,0.057,0.306,NA,0.199,0.25,NA,0.181,0.217,0.708,21.855,21.65,29.135,0,312.15,312.212
2016-01-17,-34.941,146.276,0.097,127.736,7,0.637,0.057,0.306,313.7,0.2,0.246,313.674,0.182,0.216,0.708,23.83,22.903,29.578,0,313.7,313.674
2016-01-18,-34.941,146.276,0.099,127.736,7,0.637,0.057,0.306,NA,0.197,0.253,NA,0.18,0.216,0.708,25.658,29.68,30.171,0,316.66,316.6
2016-01-19,-34.941,146.276,0.097,127.736,7,0.637,0.057,0.306,319.62,0.196,0.258,319.55,0.18,0.216,0.708,30.211,45.187,30.154,0,319.62,319.55
2016-01-20,-34.941,146.276,0.093,127.736,7,0.637,0.057,0.306,NA,0.196,0.259,NA,0.18,0.216,0.708,32.058,39.944,28.378,0,316.345,316.209
2016-01-21,-34.941,146.276,0.09,127.736,7,0.637,0.057,0.306,NA,0.193,0.258,NA,0.176,0.224,0.708,29.924,25.176,25.154,0,313.07,312.906
2016-01-22,-34.941,146.276,0.1,127.736,7,0.637,0.057,0.306,NA,0.192,0.259,NA,0.175,0.224,0.708,24.816,8.57,11.125,0,309.795,309.659
2016-01-23,-34.941,146.276,0.133,127.736,7,0.637,0.057,0.306,306.52,0.192,0.259,305.707,0.174,0.226,0.708,25.384,15.741,27.188,14.696,306.52,305.707
