time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.963,146.318,0.099,126.148,7,0.554,0.064,0.383,NA,0.183,0.263,NA,0.184,0.248,0.923,30.582,43.016,30.795,0,310.41,310.89
2016-01-02,-34.963,146.318,0.171,126.148,7,0.554,0.064,0.383,NA,0.185,0.258,NA,0.183,0.247,0.923,29.024,29.797,24.521,0,310.615,311.066
2016-01-03,-34.963,146.318,0.216,126.148,7,0.554,0.064,0.383,NA,0.186,0.256,NA,0.183,0.249,0.923,23.983,17.088,23.905,11.13,310.82,311.241
2016-01-04,-34.963,146.318,0.198,126.148,7,0.554,0.064,0.383,NA,0.186,0.256,NA,0.183,0.249,0.923,21.887,15.258,23.924,0,311.025,311.417
2016-01-05,-34.963,146.318,0.183,126.148,7,0.554,0.064,0.383,NA,0.196,0.242,NA,0.184,0.246,0.923,21.606,8.863,20.547,0,311.23,311.592
2016-01-06,-34.963,146.318,0.173,126.148,7,0.554,0.064,0.383,NA,0.196,0.242,NA,0.184,0.247,0.923,23.776,15.739,28.87,0,311.435,311.768
2016-01-07,-34.963,146.318,0.163,126.148,7,0.554,0.064,0.383,311.64,0.201,0.236,311.893,0.185,0.251,0.923,23.02,20.502,30.619,0.061,311.64,311.893
2016-01-08,-34.963,146.318,0.15,126.148,7,0.554,0.064,0.383,NA,0.2,0.237,NA,0.184,0.25,0.923,23.234,22.917,30.826,0,314.713,314.454
2016-01-09,-34.963,146.318,0.135,126.148,7,0.554,0.064,0.383,NA,0.199,0.234,NA,0.184,0.248,0.923,26.683,33.74,30.834,0,317.787,317.233
2016-01-10,-34.963,146.318,0.119,126.148,7,0.554,0.064,0.383,320.86,0.199,0.234,320.07,0.184,0.248,0.923,27.942,40.28,30.828,0,320.86,320.07
2016-01-11,-34.963,146.318,0.105,126.148,7,0.554,0.064,0.383,NA,0.199,0.231,NA,0.184,0.247,0.923,30.521,48.675,30.758,0,320.72,319.79
2016-01-12,-34.963,146.318,0.093,126.148,7,0.554,0.064,0.383,NA,0.198,0.229,NA,0.184,0.245,0.923,32.296,44.431,30.521,0,320.58,319.509
2016-01-13,-34.963,146.318,0.083,126.148,7,0.554,0.064,0.383,320.44,0.198,0.229,320.202,0.184,0.245,0.923,34.563,54.926,30.638,0,320.44,320.202
2016-01-14,-34.963,146.318,0.072,126.148,7,0.554,0.064,0.383,NA,0.198,0.229,NA,0.184,0.245,0.923,28.177,17.09,26.011,0.004,316.01,315.666
2016-01-15,-34.963,146.318,0.073,126.148,7,0.554,0.064,0.383,311.58,0.197,0.23,311.32,0.184,0.245,0.923,19.519,18.756,30.133,0,311.58,311.32
2016-01-16,-34.963,146.318,0.068,126.148,7,0.554,0.064,0.383,NA,0.2,0.219,NA,0.182,0.245,0.923,21.864,21.694,29.166,0,312.67,312.679
2016-01-17,-34.963,146.318,NA,126.148,7,0.554,0.064,0.383,313.76,0.2,0.222,313.936,0.183,0.244,0.923,23.822,22.887,29.581,0,313.76,313.936
