time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.98,146.321,0.162,126.54,6,0.593,0.06,0.347,NA,0.191,0.245,NA,0.185,0.233,0.767,30.592,42.978,30.793,0,309.825,310.895
2016-01-02,-34.98,146.321,0.272,126.54,6,0.593,0.06,0.347,NA,0.188,0.243,NA,0.184,0.232,0.767,29.043,29.801,24.518,0,310.098,311.21
2016-01-03,-34.98,146.321,0.284,126.54,6,0.593,0.06,0.347,NA,0.189,0.236,NA,0.184,0.232,0.767,24.002,17.107,23.867,10.759,310.37,311.524
2016-01-04,-34.98,146.321,0.253,126.54,6,0.593,0.06,0.347,NA,0.189,0.236,NA,0.184,0.232,0.767,21.908,15.224,23.848,0,310.642,311.839
2016-01-05,-34.98,146.321,0.236,126.54,6,0.593,0.06,0.347,NA,0.189,0.235,NA,0.185,0.229,0.767,21.61,8.82,20.467,0,310.915,312.153
2016-01-06,-34.98,146.321,0.22,126.54,6,0.593,0.06,0.347,NA,0.19,0.238,NA,0.185,0.23,0.767,23.798,15.714,28.85,0,311.188,312.45
2016-01-07,-34.98,146.321,0.204,126.54,6,0.593,0.06,0.347,311.46,0.189,0.247,312.74,0.185,0.23,0.767,23.026,20.528,30.615,0.063,311.46,312.74
2016-01-08,-34.98,146.321,0.188,126.54,6,0.593,0.06,0.347,NA,0.189,0.237,NA,0.185,0.228,0.767,23.255,22.93,30.824,0,313.913,315.626
2016-01-09,-34.98,146.321,0.172,126.54,6,0.593,0.06,0.347,NA,0.192,0.237,NA,0.186,0.227,0.767,26.702,33.721,30.831,0,316.367,318.204
2016-01-10,-34.98,146.321,0.159,126.54,6,0.593,0.06,0.347,318.82,0.192,0.239,320.79,0.186,0.227,0.767,27.957,40.248,30.824,0,318.82,320.79
2016-01-11,-34.98,146.321,0.147,126.54,6,0.593,0.06,0.347,NA,0.187,0.236,NA,0.185,0.226,0.767,30.524,48.623,30.754,0,318.76,320.705
2016-01-12,-34.98,146.321,0.143,126.54,6,0.593,0.06,0.347,318.7,0.188,0.235,320.621,0.186,0.224,0.767,32.304,44.446,30.522,0,318.7,320.621
2016-01-13,-34.98,146.321,0.135,126.54,6,0.593,0.06,0.347,320.16,0.188,0.235,321.131,0.186,0.223,0.767,34.566,54.89,30.594,0,320.16,321.131
2016-01-14,-34.98,146.321,0.126,126.54,6,0.593,0.06,0.347,NA,0.188,0.236,NA,0.186,0.223,0.767,28.218,17.122,26.032,0.012,315.55,316.54
