time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.989,146.269,0.067,124.86,9,0.637,0.057,0.305,NA,0.185,0.233,NA,0.185,0.225,1.258,30.553,43.086,30.804,0,309.245,309.166
2016-01-02,-34.989,146.269,0.066,124.86,9,0.637,0.057,0.305,NA,0.183,0.232,NA,0.183,0.226,1.258,29.008,29.664,24.582,0,309.777,309.568
2016-01-03,-34.989,146.269,0.077,124.86,9,0.637,0.057,0.305,NA,0.183,0.231,NA,0.183,0.224,1.258,23.955,16.935,24.03,10.582,310.31,309.981
2016-01-04,-34.989,146.269,0.08,124.86,9,0.637,0.057,0.305,NA,0.183,0.231,NA,0.183,0.224,1.258,21.875,15.087,24.154,0,310.842,310.398
2016-01-05,-34.989,146.269,0.074,124.86,9,0.637,0.057,0.305,NA,0.182,0.228,NA,0.181,0.225,1.258,21.595,8.921,20.928,0,311.375,310.813
2016-01-06,-34.989,146.269,0.071,124.86,9,0.637,0.057,0.305,NA,0.183,0.226,NA,0.181,0.226,1.258,23.722,15.732,29.016,0,311.908,311.228
2016-01-07,-34.989,146.269,0.068,124.86,9,0.637,0.057,0.305,312.44,0.182,0.225,311.641,0.178,0.227,1.258,23.028,20.505,30.621,0.053,312.44,311.641
2016-01-08,-34.989,146.269,0.064,124.86,9,0.637,0.057,0.305,NA,0.181,0.223,NA,0.179,0.223,1.258,23.22,22.83,30.821,0,315.353,314.492
2016-01-09,-34.989,146.269,0.06,124.86,9,0.637,0.057,0.305,NA,0.182,0.224,NA,0.18,0.222,1.258,26.616,33.557,30.838,0,318.267,317.335
2016-01-10,-34.989,146.269,0.058,124.86,9,0.637,0.057,0.305,321.18,0.182,0.223,320.175,0.18,0.223,1.258,27.926,40.172,30.835,0,321.18,320.175
2016-01-11,-34.989,146.269,0.056,124.86,9,0.637,0.057,0.305,NA,0.183,0.223,NA,0.181,0.223,1.258,30.494,48.558,30.765,0,320.09,319.925
2016-01-12,-34.989,146.269,NA,124.86,9,0.637,0.057,0.305,319,0.183,0.223,319.675,0.183,0.22,1.258,32.195,44.077,30.503,0,319,319.675
