time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-34.998,146.279,0.114,124.439,7,0.661,0.057,0.282,NA,0.183,0.229,NA,0.184,0.222,0.673,30.557,43.041,30.802,0,310.35,311.22
2016-01-02,-34.998,146.279,0.101,124.439,7,0.661,0.057,0.282,NA,0.18,0.233,NA,0.181,0.222,0.673,29.017,29.659,24.579,0,310.925,311.605
2016-01-03,-34.998,146.279,0.096,124.439,7,0.661,0.057,0.282,NA,0.18,0.231,NA,0.181,0.221,0.673,23.963,16.939,23.991,10.435,311.5,311.98
2016-01-04,-34.998,146.279,0.107,124.439,7,0.661,0.057,0.282,NA,0.18,0.231,NA,0.181,0.221,0.673,21.882,15.043,24.075,0,312.075,312.356
2016-01-05,-34.998,146.279,0.108,124.439,7,0.661,0.057,0.282,NA,0.18,0.225,NA,0.181,0.219,0.673,21.589,8.869,20.863,0,312.65,312.733
2016-01-06,-34.998,146.279,NA,124.439,7,0.661,0.057,0.282,NA,0.18,0.224,NA,0.18,0.22,0.673,23.734,15.696,29.021,0,313.225,313.112
2016-01-07,-34.998,146.279,0.111,124.439,7,0.661,0.057,0.282,313.8,0.179,0.225,313.491,0.179,0.219,0.673,23.023,20.517,30.625,0.049,313.8,313.491
2016-01-08,-34.998,146.279,0.109,124.439,7,0.661,0.057,0.282,NA,0.178,0.216,NA,0.179,0.215,0.673,23.231,22.834,30.819,0,316.587,316.308
2016-01-09,-34.998,146.279,0.104,124.439,7,0.661,0.057,0.282,NA,0.18,0.219,NA,0.18,0.215,0.673,26.628,33.533,30.834,0,319.373,319.134
2016-01-10,-34.998,146.279,0.102,124.439,7,0.661,0.057,0.282,322.16,0.18,0.218,321.965,0.18,0.215,0.673,27.933,40.134,30.83,0,322.16,321.965
2016-01-11,-34.998,146.279,0.1,124.439,7,0.661,0.057,0.282,NA,0.181,0.217,NA,0.181,0.214,0.673,30.491,48.496,30.761,0,321.85,321.985
2016-01-12,-34.998,146.279,0.098,124.439,7,0.661,0.057,0.282,321.54,0.182,0.212,322.006,0.183,0.212,0.673,32.197,44.08,30.503,0,321.54,322.006
2016-01-13,-34.998,146.279,0.095,124.439,7,0.661,0.057,0.282,321.1,0.182,0.212,321.528,0.183,0.212,0.673,34.592,54.828,30.63,0,321.1,321.528
2016-01-14,-34.998,146.279,0.077,124.439,7,0.661,0.057,0.282,NA,0.182,0.212,NA,0.183,0.212,0.673,27.985,16.831,25.864,0.006,316.25,316.757
2016-01-15,-34.998,146.279,NA,124.439,7,0.661,0.057,0.282,311.4,0.183,0.212,312.016,0.183,0.212,0.673,19.471,18.654,30.136,0,311.4,312.016
2016-01-16,-34.998,146.279,0.08,124.439,7,0.661,0.057,0.282,NA,0.182,0.216,NA,0.18,0.213,0.673,21.823,21.704,29.155,0,312.89,313.414
2016-01-17,-34.998,146.279,0.078,124.439,7,0.661,0.057,0.282,314.38,0.183,0.214,314.821,0.181,0.21,0.673,23.834,22.825,29.597,0,314.38,314.821
2016-01-18,-34.998,146.279,0.081,124.439,7,0.661,0.057,0.282,NA,0.187,0.213,NA,0.184,0.21,0.673,25.626,29.617,30.176,0,317.04,317.464
2016-01-19,-34.998,146.279,0.08,124.439,7,0.661,0.057,0.282,319.7,0.187,0.214,320.112,0.183,0.211,0.673,30.188,45.16,30.153,0,319.7,320.112
2016-01-20,-34.998,146.279,0.075,124.439,7,0.661,0.057,0.282,NA,0.187,0.215,NA,0.183,0.211,0.673,32.034,39.627,28.282,0,316.53,316.9
2016-01-21,-34.998,146.279,0.072,124.439,7,0.661,0.057,0.282,NA,0.184,0.224,NA,0.181,0.215,0.673,29.969,25.242,25.303,0,313.36,313.699
2016-01-22,-34.998,146.279,0.069,124.439,7,0.661,0.057,0.282,NA,0.184,0.225,NA,0.181,0.216,0.673,24.81,8.487,11.146,0,310.19,310.484
2016-01-23,-34.998,146.279,0.088,124.439,7,0.661,0.057,0.282,307.02,0.184,0.226,307.161,0.178,0.22,0.673,25.371,15.721,27.164,14.738,307.02,307.161
2016-01-24,-34.998,146.279,0.103,124.439,7,0.661,0.057,0.282,312.6,0.186,0.227,313.209,0.178,0.22,0.673,24.252,19.748,29.766,0,312.6,313.209
2016-01-25,-34.998,146.279,0.112,124.439,7,0.661,0.057,0.282,NA,0.183,0.237,NA,0.176,0.225,0.673,25.068,21.861,29.493,0,314.25,314.904
2016-01-26,-34.998,146.279,0.123,124.439,7,0.661,0.057,0.282,315.9,0.183,0.238,316.606,0.176,0.225,0.673,27.374,25.91,24.527,0,315.9,316.606
2016-01-27,-34.998,146.279,NA,124.439,7,0.661,0.057,0.282,NA,0.182,0.24,NA,0.174,0.227,0.673,22.478,4.192,11.682,36.843,314.354,314.292
2016-01-28,-34.998,146.279,0.192,124.439,7,0.661,0.057,0.282,NA,0.176,0.237,NA,0.17,0.233,0.673,25.366,14.323,22.365,7.317,312.809,311.998
2016-01-29,-34.998,146.279,0.188,124.439,7,0.661,0.057,0.282,NA,0.175,0.225,NA,0.171,0.225,0.673,20.141,6.909,18.479,5.28,311.263,309.617
2016-01-30,-34.998,146.279,0.192,124.439,7,0.661,0.057,0.282,NA,0.178,0.25,NA,0.17,0.255,0.673,18.904,9.682,20.845,0.207,309.717,307.215
2016-01-31,-34.998,146.279,0.209,124.439,7,0.661,0.057,0.282,NA,0.177,0.244,NA,0.17,0.256,0.673,19.001,8.493,15.799,10.818,308.171,306.389
2016-02-01,-34.998,146.279,0.217,124.439,7,0.661,0.057,0.282,NA,0.174,0.284,NA,0.17,0.292,1.851,19.774,8.016,24.383,13.681,306.626,305.608
2016-02-02,-34.998,146.279,0.218,124.439,7,0.661,0.057,0.282,305.08,0.176,0.283,304.822,0.171,0.295,1.851,22.021,17.604,26.912,0,305.08,304.822
2016-02-03,-34.998,146.279,0.214,124.439,7,0.661,0.057,0.282,NA,0.175,0.3,NA,0.17,0.312,1.851,24.241,11.297,21.839,0,305.48,305.413
2016-02-04,-34.998,146.279,0.219,124.439,7,0.661,0.057,0.282,305.88,0.175,0.314,306.001,0.17,0.327,1.851,23.568,17.917,28.657,0,305.88,306.001
2016-02-05,-34.998,146.279,0.217,124.439,7,0.661,0.057,0.282,305.92,0.175,0.318,306.245,0.169,0.33,1.851,23.206,20.609,28.194,0,305.92,306.245
2016-02-06,-34.998,146.279,0.216,124.439,7,0.661,0.057,0.282,305.96,0.175,0.335,306.677,0.169,0.347,1.851,23.633,18.874,26.551,0,305.96,306.677
2016-02-07,-34.998,146.279,0.214,124.439,7,0.661,0.057,0.282,309.02,0.175,0.337,309.646,0.169,0.349,1.851,25.585,21.427,27.785,0,309.02,309.646
2016-02-08,-34.998,146.279,0.207,124.439,7,0.661,0.057,0.282,310.34,0.175,0.345,310.931,0.172,0.354,1.851,27.554,30.104,28.235,0,310.34,310.931
2016-02-09,-34.998,146.279,0.197,124.439,7,0.661,0.057,0.282,311.04,0.174,0.348,311.67,0.171,0.357,1.851,27.016,29.41,28.149,0,311.04,311.67
2016-02-10,-34.998,146.279,0.185,124.439,7,0.661,0.057,0.282,NA,0.175,0.352,NA,0.172,0.358,1.851,27.003,35.369,28.062,0,310.23,310.603
