time,lat,lon,insitu_sm,dem,awc,clay,silt,sand,lst_1km,albedo_500m,ndvi_500m,lst_100m,albedo_100m,ndvi_100m,et_100m,tavg,vpd,srad,rain,lst_interp_1km,lst_interp_100m
2016-01-01,-35.005,146.268,0.097,124.705,9,0.64,0.057,0.303,NA,0.183,0.239,NA,0.183,0.229,0.778,30.547,43.037,30.804,0,311.61,313.423
2016-01-02,-35.005,146.268,0.106,124.705,9,0.64,0.057,0.303,NA,0.18,0.236,NA,0.182,0.229,0.778,29.012,29.614,24.594,0,311.835,313.594
2016-01-03,-35.005,146.268,0.131,124.705,9,0.64,0.057,0.303,NA,0.178,0.24,NA,0.182,0.228,0.778,23.955,16.895,24.009,10.156,312.06,313.769
2016-01-04,-35.005,146.268,0.125,124.705,9,0.64,0.057,0.303,NA,0.178,0.24,NA,0.182,0.228,0.778,21.877,14.972,24.103,0,312.285,313.948
2016-01-05,-35.005,146.268,0.118,124.705,9,0.64,0.057,0.303,NA,0.172,0.242,NA,0.181,0.226,0.778,21.579,8.86,20.931,0,312.51,314.13
2016-01-06,-35.005,146.268,0.112,124.705,9,0.64,0.057,0.303,NA,0.173,0.238,NA,0.181,0.226,0.778,23.719,15.675,29.054,0,312.735,314.316
2016-01-07,-35.005,146.268,0.103,124.705,9,0.64,0.057,0.303,312.96,0.17,0.237,314.503,0.181,0.226,0.778,23.019,20.518,30.625,0.047,312.96,314.503
2016-01-08,-35.005,146.268,0.095,124.705,9,0.64,0.057,0.303,NA,0.168,0.233,NA,0.18,0.222,0.778,23.227,22.808,30.817,0,315.84,317.207
2016-01-09,-35.005,146.268,0.087,124.705,9,0.64,0.057,0.303,NA,0.17,0.233,NA,0.181,0.222,0.778,26.61,33.467,30.834,0,318.72,320.004
2016-01-10,-35.005,146.268,0.081,124.705,9,0.64,0.057,0.303,321.6,0.17,0.233,322.832,0.181,0.222,0.778,27.929,40.083,30.83,0,321.6,322.832
2016-01-11,-35.005,146.268,0.075,124.705,9,0.64,0.057,0.303,NA,0.171,0.233,NA,0.181,0.221,0.778,30.479,48.43,30.761,0,321.25,323.182
2016-01-12,-35.005,146.268,0.07,124.705,9,0.64,0.057,0.303,320.9,0.173,0.232,323.531,0.182,0.22,0.778,32.165,43.975,30.498,0,320.9,323.531
2016-01-13,-35.005,146.268,0.068,124.705,9,0.64,0.057,0.303,321.34,0.173,0.232,321.993,0.182,0.22,0.778,34.596,54.787,30.619,0,321.34,321.993
2016-01-14,-35.005,146.268,0.054,124.705,9,0.64,0.057,0.303,NA,0.174,0.231,NA,0.182,0.22,0.778,27.93,16.753,25.825,0.008,316.31,317.774
2016-01-15,-35.005,146.268,0.056,124.705,9,0.64,0.057,0.303,311.28,0.174,0.231,313.737,0.182,0.219,0.778,19.454,18.623,30.138,0,311.28,313.737
2016-01-16,-35.005,146.268,0.057,124.705,9,0.64,0.057,0.303,NA,0.167,0.232,NA,0.181,0.22,0.778,21.807,21.706,29.152,0,312.91,314.584
2016-01-17,-35.005,146.268,0.056,124.705,9,0.64,0.057,0.303,314.54,0.167,0.234,315.469,0.181,0.218,0.778,23.834,22.801,29.601,0,314.54,315.469
2016-01-18,-35.005,146.268,NA,124.705,9,0.64,0.057,0.303,NA,0.168,0.235,NA,0.183,0.217,0.778,25.612,29.627,30.176,0,317.1,318.013
2016-01-19,-35.005,146.268,0.059,124.705,9,0.64,0.057,0.303,319.66,0.169,0.235,320.602,0.183,0.217,0.778,30.184,45.165,30.152,0,319.66,320.602
2016-01-20,-35.005,146.268,0.056,124.705,9,0.64,0.057,0.303,NA,0.169,0.235,NA,0.183,0.218,0.778,32.024,39.523,28.251,0,316.575,317.34
2016-01-21,-35.005,146.268,0.054,124.705,9,0.64,0.057,0.303,NA,0.173,0.237,NA,0.182,0.221,0.778,29.97,25.231,25.324,0,313.49,314.178
2016-01-22,-35.005,146.268,0.143,124.705,9,0.64,0.057,0.303,NA,0.172,0.236,NA,0.182,0.221,0.778,24.796,8.446,11.141,0,310.405,310.864
2016-01-23,-35.005,146.268,0.148,124.705,9,0.64,0.057,0.303,307.32,0.167,0.235,306.46,0.181,0.224,0.778,25.352,15.673,27.153,14.733,307.32,306.46
2016-01-24,-35.005,146.268,0.133,124.705,9,0.64,0.057,0.303,313.56,0.166,0.235,314.359,0.18,0.224,0.778,24.239,19.731,29.764,0,313.56,314.359
2016-01-25,-35.005,146.268,0.119,124.705,9,0.64,0.057,0.303,NA,0.158,0.238,NA,0.179,0.227,0.778,25.049,21.815,29.493,0,315.14,315.906
2016-01-26,-35.005,146.268,0.118,124.705,9,0.64,0.057,0.303,316.72,0.157,0.244,317.496,0.179,0.227,0.778,27.344,25.898,24.527,0,316.72,317.496
2016-01-27,-35.005,146.268,0.209,124.705,9,0.64,0.057,0.303,NA,0.154,0.246,NA,0.178,0.23,0.778,22.481,4.176,11.715,36.328,312.85,315.298
2016-01-28,-35.005,146.268,0.251,124.705,9,0.64,0.057,0.303,NA,0.149,0.266,NA,0.176,0.237,0.778,25.358,14.286,22.369,7.134,308.98,313.281
2016-01-29,-35.005,146.268,0.257,124.705,9,0.64,0.057,0.303,NA,0.15,0.286,NA,0.177,0.229,0.778,20.122,6.886,18.266,5.293,305.11,310.495
2016-01-30,-35.005,146.268,0.281,124.705,9,0.64,0.057,0.303,301.24,0.15,0.298,307.377,0.177,0.264,0.778,18.887,9.703,20.736,0.256,301.24,307.377
2016-01-31,-35.005,146.268,0.286,124.705,9,0.64,0.057,0.303,NA,0.152,0.312,NA,0.177,0.265,0.778,18.986,8.413,15.78,10.551,302.827,306.578
2016-02-01,-35.005,146.268,0.262,124.705,9,0.64,0.057,0.303,NA,0.156,0.321,NA,0.177,0.313,2.054,19.773,8.019,24.413,13.642,304.413,305.963
2016-02-02,-35.005,146.268,0.237,124.705,9,0.64,0.057,0.303,306,0.159,0.317,305.315,0.177,0.316,2.054,22.021,17.592,26.916,0,306,305.315
2016-02-03,-35.005,146.268,0.219,124.705,9,0.64,0.057,0.303,NA,0.159,0.331,NA,0.177,0.339,2.054,24.234,11.278,21.866,0,306.19,305.562
2016-02-04,-35.005,146.268,0.193,124.705,9,0.64,0.057,0.303,306.38,0.16,0.342,305.78,0.177,0.36,2.054,23.551,17.926,28.66,0,306.38,305.78
2016-02-05,-35.005,146.268,0.174,124.705,9,0.64,0.057,0.303,306,0.159,0.342,305.768,0.177,0.364,2.054,23.196,20.601,28.205,0,306,305.768
2016-02-06,-35.005,146.268,0.159,124.705,9,0.64,0.057,0.303,306.58,0.16,0.355,306.316,0.177,0.361,2.054,23.63,18.872,26.559,0,306.58,306.316
2016-02-07,-35.005,146.268,0.147,124.705,9,0.64,0.057,0.303,309.46,0.161,0.357,310.13,0.176,0.361,2.054,25.587,21.427,27.803,0,309.46,310.13
2016-02-08,-35.005,146.268,0.135,124.705,9,0.64,0.057,0.303,310.66,0.168,0.372,311.347,0.181,0.357,2.054,27.555,30.112,28.236,0,310.66,311.347
2016-02-09,-35.005,146.268,0.124,124.705,9,0.64,0.057,0.303,311.32,0.167,0.373,311.913,0.18,0.358,2.054,26.998,29.398,28.15,0,311.32,311.913
2016-02-10,-35.005,146.268,0.116,124.705,9,0.64,0.057,0.303,NA,0.173,0.379,NA,0.181,0.358,2.054,26.976,35.316,28.062,0,310.18,311.035
2016-02-11,-35.005,146.268,0.11,124.705,9,0.64,0.057,0.303,309.04,0.173,0.381,309.733,0.182,0.357,2.054,26.197,29.784,27.882,0,309.04,309.733
2016-02-12,-35.005,146.268,0.106,124.705,9,0.64,0.057,0.303,NA,0.173,0.38,NA,0.182,0.358,2.054,27.414,30.273,27.732,0,312.02,312.634
2016-02-13,-35.005,146.268,0.104,124.705,9,0.64,0.057,0.303,315,0.175,0.383,315.439,0.184,0.365,2.054,28.988,39.552,27.632,0,315,315.439
2016-02-14,-35.005,146.268,0.097,124.705,9,0.64,0.057,0.303,306.16,0.173,0.38,306.392,0.183,0.368,2.054,26.259,22.827,25.598,0,306.16,306.392
2016-02-15,-35.005,146.268,0.095,124.705,9,0.64,0.057,0.303,310.42,0.173,0.386,311.204,0.185,0.376,2.054,22.28,21.14,27.094,0,310.42,311.204
2016-02-16,-35.005,146.268,0.09,124.705,9,0.64,0.057,0.303,303.24,0.172,0.388,303.092,0.184,0.378,2.054,21.133,17.06,25.187,0,303.24,303.092
